username,email,firstname,lastname,course1,role1,course2,role2,course3,role3,course4,role4,course5,role5,course6,role6,course7,role7,course8,role8,course9,role9,course10,role10,course11,role11,course12,role12,course13,role13,course14,role14,course15,role15,course16,role16,course17,role17,course18,role18,course19,role19,course20,role20,course21,role21,course22,role22,course23,role23,course24,role24,course25,role25,course26,role26,course27,role27,course28,role28,course29,role29,course30,role30,course31,role31,course32,role32,course33,role33,course34,role34,course35,role35,course36,role36,course37,role37,course38,role38,course39,role39,course40,role40,course41,role41,course42,role42,course43,role43,course44,role44,course45,role45,course46,role46,course47,role47,course48,role48,course49,role49,course50,role50,course51,role51,course52,role52,course53,role53,course54,role54,course55,role55,course56,role56,course57,role57,course58,role58,course59,role59,course60,role60,course61,role61,course62,role62,course63,role63,course64,role64,course65,role65,course66,role66,course67,role67,course68,role68,course69,role69,course70,role70,course71,role71,course72,role72
tool_generator_000625,tool_generator_000625@example.com,Adéla,Horáková,testcourse_1,student,testcourse_2,student,testcourse_3,student,testcourse_4,student,testcourse_5,student,testcourse_6,student,testcourse_7,student,testcourse_8,student,testcourse_9,student,testcourse_10,student,testcourse_11,student,testcourse_12,student,testcourse_13,student,testcourse_14,student,testcourse_15,student,testcourse_16,student,testcourse_17,student,testcourse_18,student,testcourse_19,student,testcourse_20,student,testcourse_21,student,testcourse_22,student,testcourse_23,student,testcourse_24,student,testcourse_25,student,testcourse_26,student,testcourse_27,student,testcourse_28,student,testcourse_29,student,testcourse_30,student,testcourse_31,student,testcourse_32,student,testcourse_33,student,testcourse_34,student,testcourse_35,student,testcourse_36,student,testcourse_37,student,testcourse_38,student,testcourse_39,student,testcourse_40,student,testcourse_41,student,testcourse_42,student,testcourse_43,student,testcourse_44,student,testcourse_45,student,testcourse_46,student,testcourse_47,student,testcourse_48,student,testcourse_49,student,testcourse_50,student,testcourse_51,student,testcourse_52,student,testcourse_53,student,testcourse_54,student,testcourse_55,student,testcourse_56,student,testcourse_57,student,testcourse_58,student,testcourse_59,student,testcourse_60,student,testcourse_61,student,testcourse_62,student,testcourse_63,student,testcourse_64,student,testcourse_65,editingteacher,testcourse_66,editingteacher,testcourse_67,editingteacher,testcourse_68,editingteacher,testcourse_69,editingteacher,testcourse_70,editingteacher,testcourse_71,editingteacher,testcourse_72,editingteacher
tool_generator_000860,tool_generator_000860@example.com,Adéla,Horáková,testcourse_1,student,testcourse_2,student,testcourse_3,student,testcourse_4,student,testcourse_5,student,testcourse_6,student,testcourse_7,student,testcourse_8,student,testcourse_9,student,testcourse_10,student,testcourse_11,student,testcourse_12,student,testcourse_13,student,testcourse_14,student,testcourse_15,student,testcourse_16,student,testcourse_17,student,testcourse_18,student,testcourse_19,student,testcourse_20,student,testcourse_21,student,testcourse_22,student,testcourse_23,student,testcourse_24,student,testcourse_25,student,testcourse_26,student,testcourse_27,student,testcourse_28,student,testcourse_29,student,testcourse_30,student,testcourse_31,student,testcourse_32,student,testcourse_33,student,testcourse_34,student,testcourse_35,student,testcourse_36,student,testcourse_37,student,testcourse_38,student,testcourse_39,student,testcourse_40,student,testcourse_41,student,testcourse_42,student,testcourse_43,student,testcourse_44,student,testcourse_45,student,testcourse_46,student,testcourse_47,student,testcourse_48,student,testcourse_49,student,testcourse_50,student,testcourse_51,student,testcourse_52,student,testcourse_53,student,testcourse_54,student,testcourse_55,student,testcourse_56,student,testcourse_57,student,testcourse_58,student,testcourse_59,student,testcourse_60,student,testcourse_61,student,testcourse_62,student,testcourse_63,student,testcourse_64,student,testcourse_65,editingteacher,testcourse_66,editingteacher,testcourse_67,editingteacher,testcourse_68,editingteacher,testcourse_69,editingteacher,testcourse_70,editingteacher,testcourse_71,editingteacher,testcourse_72,editingteacher
tool_generator_000462,tool_generator_000462@example.com,Adéla,Horáková,testcourse_1,student,testcourse_2,student,testcourse_3,student,testcourse_4,student,testcourse_5,student,testcourse_6,student,testcourse_7,student,testcourse_8,student,testcourse_9,student,testcourse_10,student,testcourse_11,student,testcourse_12,student,testcourse_13,student,testcourse_14,student,testcourse_15,student,testcourse_16,student,testcourse_17,student,testcourse_18,student,testcourse_19,student,testcourse_20,student,testcourse_21,student,testcourse_22,student,testcourse_23,student,testcourse_24,student,testcourse_25,student,testcourse_26,student,testcourse_27,student,testcourse_28,student,testcourse_29,student,testcourse_30,student,testcourse_31,student,testcourse_32,student,testcourse_33,student,testcourse_34,student,testcourse_35,student,testcourse_36,student,testcourse_37,student,testcourse_38,student,testcourse_39,student,testcourse_40,student,testcourse_41,student,testcourse_42,student,testcourse_43,student,testcourse_44,student,testcourse_45,student,testcourse_46,student,testcourse_47,student,testcourse_48,student,testcourse_49,student,testcourse_50,student,testcourse_51,student,testcourse_52,student,testcourse_53,student,testcourse_54,student,testcourse_55,student,testcourse_56,student,testcourse_57,student,testcourse_58,student,testcourse_59,student,testcourse_60,student,testcourse_61,student,testcourse_62,student,testcourse_63,student,testcourse_64,student,testcourse_65,editingteacher,testcourse_66,editingteacher,testcourse_67,editingteacher,testcourse_68,editingteacher,testcourse_69,editingteacher,testcourse_70,editingteacher,testcourse_71,editingteacher,testcourse_72,editingteacher
tool_generator_000138,tool_generator_000138@example.com,Adéla,Kučerová,testcourse_1,student,testcourse_2,student,testcourse_3,student,testcourse_4,student,testcourse_5,student,testcourse_6,student,testcourse_7,student,testcourse_8,student,testcourse_9,student,testcourse_10,student,testcourse_11,student,testcourse_12,student,testcourse_13,student,testcourse_14,student,testcourse_15,student,testcourse_16,student,testcourse_17,student,testcourse_18,student,testcourse_19,student,testcourse_20,student,testcourse_21,student,testcourse_22,student,testcourse_23,student,testcourse_24,student,testcourse_25,student,testcourse_26,student,testcourse_27,student,testcourse_28,student,testcourse_29,student,testcourse_30,student,testcourse_31,student,testcourse_32,student,testcourse_33,student,testcourse_34,student,testcourse_35,student,testcourse_36,student,testcourse_37,student,testcourse_38,student,testcourse_39,student,testcourse_40,student,testcourse_41,student,testcourse_42,student,testcourse_43,student,testcourse_44,student,testcourse_45,student,testcourse_46,student,testcourse_47,student,testcourse_48,student,testcourse_49,student,testcourse_50,student,testcourse_51,student,testcourse_52,student,testcourse_53,student,testcourse_54,student,testcourse_55,student,testcourse_56,student,testcourse_57,student,testcourse_58,student,testcourse_59,student,testcourse_60,student,testcourse_61,student,testcourse_62,student,testcourse_63,student,testcourse_64,student,testcourse_65,editingteacher,testcourse_66,editingteacher,testcourse_67,editingteacher,testcourse_68,editingteacher,testcourse_69,editingteacher,testcourse_70,editingteacher,testcourse_71,editingteacher,testcourse_72,editingteacher
tool_generator_000212,tool_generator_000212@example.com,Adéla,Kučerová,testcourse_1,student,testcourse_2,student,testcourse_3,student,testcourse_4,student,testcourse_5,student,testcourse_6,student,testcourse_7,student,testcourse_8,student,testcourse_9,student,testcourse_10,student,testcourse_11,student,testcourse_12,student,testcourse_13,student,testcourse_14,student,testcourse_15,student,testcourse_16,student,testcourse_17,student,testcourse_18,student,testcourse_19,student,testcourse_20,student,testcourse_21,student,testcourse_22,student,testcourse_23,student,testcourse_24,student,testcourse_25,student,testcourse_26,student,testcourse_27,student,testcourse_28,student,testcourse_29,student,testcourse_30,student,testcourse_31,student,testcourse_32,student,testcourse_33,student,testcourse_34,student,testcourse_35,student,testcourse_36,student,testcourse_37,student,testcourse_38,student,testcourse_39,student,testcourse_40,student,testcourse_41,student,testcourse_42,student,testcourse_43,student,testcourse_44,student,testcourse_45,student,testcourse_46,student,testcourse_47,student,testcourse_48,student,testcourse_49,student,testcourse_50,student,testcourse_51,student,testcourse_52,student,testcourse_53,student,testcourse_54,student,testcourse_55,student,testcourse_56,student,testcourse_57,student,testcourse_58,student,testcourse_59,student,testcourse_60,student,testcourse_61,student,testcourse_62,student,testcourse_63,student,testcourse_64,student,testcourse_65,editingteacher,testcourse_66,editingteacher,testcourse_67,editingteacher,testcourse_68,editingteacher,testcourse_69,editingteacher,testcourse_70,editingteacher,testcourse_71,editingteacher,testcourse_72,editingteacher
tool_generator_000277,tool_generator_000277@example.com,Adéla,Němcová,testcourse_1,student,testcourse_2,student,testcourse_3,student,testcourse_4,student,testcourse_5,student,testcourse_6,student,testcourse_7,student,testcourse_8,student,testcourse_9,student,testcourse_10,student,testcourse_11,student,testcourse_12,student,testcourse_13,student,testcourse_14,student,testcourse_15,student,testcourse_16,student,testcourse_17,student,testcourse_18,student,testcourse_19,student,testcourse_20,student,testcourse_21,student,testcourse_22,student,testcourse_23,student,testcourse_24,student,testcourse_25,student,testcourse_26,student,testcourse_27,student,testcourse_28,student,testcourse_29,student,testcourse_30,student,testcourse_31,student,testcourse_32,student,testcourse_33,student,testcourse_34,student,testcourse_35,student,testcourse_36,student,testcourse_37,student,testcourse_38,student,testcourse_39,student,testcourse_40,student,testcourse_41,student,testcourse_42,student,testcourse_43,student,testcourse_44,student,testcourse_45,student,testcourse_46,student,testcourse_47,student,testcourse_48,student,testcourse_49,student,testcourse_50,student,testcourse_51,student,testcourse_52,student,testcourse_53,student,testcourse_54,student,testcourse_55,student,testcourse_56,student,testcourse_57,student,testcourse_58,student,testcourse_59,student,testcourse_60,student,testcourse_61,student,testcourse_62,student,testcourse_63,student,testcourse_64,student,testcourse_65,editingteacher,testcourse_66,editingteacher,testcourse_67,editingteacher,testcourse_68,editingteacher,testcourse_69,editingteacher,testcourse_70,editingteacher,testcourse_71,editingteacher,testcourse_72,editingteacher
tool_generator_000674,tool_generator_000674@example.com,Adéla,Němcová,testcourse_1,student,testcourse_2,student,testcourse_3,student,testcourse_4,student,testcourse_5,student,testcourse_6,student,testcourse_7,student,testcourse_8,student,testcourse_9,student,testcourse_10,student,testcourse_11,student,testcourse_12,student,testcourse_13,student,testcourse_14,student,testcourse_15,student,testcourse_16,student,testcourse_17,student,testcourse_18,student,testcourse_19,student,testcourse_20,student,testcourse_21,student,testcourse_22,student,testcourse_23,student,testcourse_24,student,testcourse_25,student,testcourse_26,student,testcourse_27,student,testcourse_28,student,testcourse_29,student,testcourse_30,student,testcourse_31,student,testcourse_32,student,testcourse_33,student,testcourse_34,student,testcourse_35,student,testcourse_36,student,testcourse_37,student,testcourse_38,student,testcourse_39,student,testcourse_40,student,testcourse_41,student,testcourse_42,student,testcourse_43,student,testcourse_44,student,testcourse_45,student,testcourse_46,student,testcourse_47,student,testcourse_48,student,testcourse_49,student,testcourse_50,student,testcourse_51,student,testcourse_52,student,testcourse_53,student,testcourse_54,student,testcourse_55,student,testcourse_56,student,testcourse_57,student,testcourse_58,student,testcourse_59,student,testcourse_60,student,testcourse_61,student,testcourse_62,student,testcourse_63,student,testcourse_64,student,testcourse_65,editingteacher,testcourse_66,editingteacher,testcourse_67,editingteacher,testcourse_68,editingteacher,testcourse_69,editingteacher,testcourse_70,editingteacher,testcourse_71,editingteacher,testcourse_72,editingteacher
tool_generator_000915,tool_generator_000915@example.com,Adéla,Němcová,testcourse_1,student,testcourse_2,student,testcourse_3,student,testcourse_4,student,testcourse_5,student,testcourse_6,student,testcourse_7,student,testcourse_8,student,testcourse_9,student,testcourse_10,student,testcourse_11,student,testcourse_12,student,testcourse_13,student,testcourse_14,student,testcourse_15,student,testcourse_16,student,testcourse_17,student,testcourse_18,student,testcourse_19,student,testcourse_20,student,testcourse_21,student,testcourse_22,student,testcourse_23,student,testcourse_24,student,testcourse_25,student,testcourse_26,student,testcourse_27,student,testcourse_28,student,testcourse_29,student,testcourse_30,student,testcourse_31,student,testcourse_32,student,testcourse_33,student,testcourse_34,student,testcourse_35,student,testcourse_36,student,testcourse_37,student,testcourse_38,student,testcourse_39,student,testcourse_40,student,testcourse_41,student,testcourse_42,student,testcourse_43,student,testcourse_44,student,testcourse_45,student,testcourse_46,student,testcourse_47,student,testcourse_48,student,testcourse_49,student,testcourse_50,student,testcourse_51,student,testcourse_52,student,testcourse_53,student,testcourse_54,student,testcourse_55,student,testcourse_56,student,testcourse_57,student,testcourse_58,student,testcourse_59,student,testcourse_60,student,testcourse_61,student,testcourse_62,student,testcourse_63,student,testcourse_64,student,testcourse_65,editingteacher,testcourse_66,editingteacher,testcourse_67,editingteacher,testcourse_68,editingteacher,testcourse_69,editingteacher,testcourse_70,editingteacher,testcourse_71,editingteacher,testcourse_72,editingteacher
tool_generator_000958,tool_generator_000958@example.com,Adéla,Veselá,testcourse_1,student,testcourse_2,student,testcourse_3,student,testcourse_4,student,testcourse_5,student,testcourse_6,student,testcourse_7,student,testcourse_8,student,testcourse_9,student,testcourse_10,student,testcourse_11,student,testcourse_12,student,testcourse_13,student,testcourse_14,student,testcourse_15,student,testcourse_16,student,testcourse_17,student,testcourse_18,student,testcourse_19,student,testcourse_20,student,testcourse_21,student,testcourse_22,student,testcourse_23,student,testcourse_24,student,testcourse_25,student,testcourse_26,student,testcourse_27,student,testcourse_28,student,testcourse_29,student,testcourse_30,student,testcourse_31,student,testcourse_32,student,testcourse_33,student,testcourse_34,student,testcourse_35,student,testcourse_36,student,testcourse_37,student,testcourse_38,student,testcourse_39,student,testcourse_40,student,testcourse_41,student,testcourse_42,student,testcourse_43,student,testcourse_44,student,testcourse_45,student,testcourse_46,student,testcourse_47,student,testcourse_48,student,testcourse_49,student,testcourse_50,student,testcourse_51,student,testcourse_52,student,testcourse_53,student,testcourse_54,student,testcourse_55,student,testcourse_56,student,testcourse_57,student,testcourse_58,student,testcourse_59,student,testcourse_60,student,testcourse_61,student,testcourse_62,student,testcourse_63,student,testcourse_64,student,testcourse_65,editingteacher,testcourse_66,editingteacher,testcourse_67,editingteacher,testcourse_68,editingteacher,testcourse_69,editingteacher,testcourse_70,editingteacher,testcourse_71,editingteacher,testcourse_72,editingteacher
tool_generator_000535,tool_generator_000535@example.com,Adéla,Veselá,testcourse_1,student,testcourse_2,student,testcourse_3,student,testcourse_4,student,testcourse_5,student,testcourse_6,student,testcourse_7,student,testcourse_8,student,testcourse_9,student,testcourse_10,student,testcourse_11,student,testcourse_12,student,testcourse_13,student,testcourse_14,student,testcourse_15,student,testcourse_16,student,testcourse_17,student,testcourse_18,student,testcourse_19,student,testcourse_20,student,testcourse_21,student,testcourse_22,student,testcourse_23,student,testcourse_24,student,testcourse_25,student,testcourse_26,student,testcourse_27,student,testcourse_28,student,testcourse_29,student,testcourse_30,student,testcourse_31,student,testcourse_32,student,testcourse_33,student,testcourse_34,student,testcourse_35,student,testcourse_36,student,testcourse_37,student,testcourse_38,student,testcourse_39,student,testcourse_40,student,testcourse_41,student,testcourse_42,student,testcourse_43,student,testcourse_44,student,testcourse_45,student,testcourse_46,student,testcourse_47,student,testcourse_48,student,testcourse_49,student,testcourse_50,student,testcourse_51,student,testcourse_52,student,testcourse_53,student,testcourse_54,student,testcourse_55,student,testcourse_56,student,testcourse_57,student,testcourse_58,student,testcourse_59,student,testcourse_60,student,testcourse_61,student,testcourse_62,student,testcourse_63,student,testcourse_64,student,testcourse_65,editingteacher,testcourse_66,editingteacher,testcourse_67,editingteacher,testcourse_68,editingteacher,testcourse_69,editingteacher,testcourse_70,editingteacher,testcourse_71,editingteacher,testcourse_72,editingteacher
